tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
6046,24:58.7,05:44.9,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42915,Customer,1969,0
344,03:35.4,09:19.6,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,28364,Subscriber,1981,2
452,10:38.9,18:11.6,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,27705,Subscriber,1982,1
687,12:23.7,23:51.0,3280,Astor Place,40.7192822,-74.07126188,3276,Marin Light Rail,40.71458404,-74.04281706,43563,Subscriber,1993,1
84,27:56.9,29:21.5,3211,Newark Ave,40.72152515,-74.04630454,3273,Manila & 1st,40.72165072,-74.04288411,44911,Subscriber,1987,1
336,30:51.8,36:28.3,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,40168,Subscriber,1989,1
312,45:01.9,50:14.6,3203,Hamilton Park,40.72759597,-74.04424731,3211,Newark Ave,40.72152515,-74.04630454,32370,Subscriber,1985,1
120,48:54.5,50:54.8,3273,Manila & 1st,40.72165072,-74.04288411,3211,Newark Ave,40.72152515,-74.04630454,44911,Subscriber,1987,1
713,59:33.8,11:27.2,3638,Washington St,40.7242941,-74.0354826,3186,Grove St PATH,40.71958612,-74.04311746,39839,Customer,1969,0
372,02:56.5,09:09.3,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,32370,Subscriber,1985,1
546,28:19.5,37:26.4,3213,Van Vorst Park,40.71848892,-74.04772663,3638,Washington St,40.7242941,-74.0354826,42382,Subscriber,1980,1
729,30:08.0,42:18.0,3276,Marin Light Rail,40.71458404,-74.04281706,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,43563,Subscriber,1993,1
248,49:24.6,53:32.7,3267,Morris Canal,40.71241882,-74.03852552,3275,Columbus Drive,40.7183552,-74.03891444,42153,Subscriber,1988,2
461,54:50.0,02:31.8,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,43543,Customer,1969,0
